,index1,index,animal_id,name,date_time,month_year,found_loc,intake_type,intake_condition,animal_type,sex,age,breed,color,city,state
0,0,0,A748291,*Madison,05/01/2017 02:26:00 PM,05/01/2017 02:26:00 PM,S Pleasant Valley Rd And E Riverside Dr,Stray,Normal,Dog,Intact Female,10 months,Pit Bull Mix,Black,Austin,TX
1,1,1,A750529,,05/28/2017 01:22:00 PM,05/28/2017 01:22:00 PM,8312 North Ih 35,Stray,Normal,Dog,Intact Female,5 months,Miniature Schnauzer Mix,White/Cream,Austin,TX
2,2,3,A748238,,05/01/2017 10:53:00 AM,05/01/2017 10:53:00 AM,Airport Blvd And Oak Springs Dr,Stray,Normal,Dog,Intact Male,3 years,Bichon Frise Mix,White,Austin,TX
3,3,12,A756485,,08/20/2017 03:07:00 PM,08/20/2017 03:07:00 PM,1020 Grove Blvd,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby,Austin,TX
4,4,15,A749535,*Bongo,05/16/2017 11:29:00 AM,05/16/2017 11:29:00 AM,6607 S Ih 35 Frontage Rd,Stray,Normal,Dog,Intact Male,2 years,Border Collie Mix,Black/White,Austin,TX
5,5,21,A763217,*Milton,12/05/2017 01:51:00 PM,12/05/2017 01:51:00 PM,5002 Nuckols Crossing Road,Stray,Normal,Dog,Neutered Male,8 months,Labrador Retriever Mix,Black/Brown Brindle,Austin,TX
6,6,24,A749579,*Jacob,05/16/2017 05:19:00 PM,05/16/2017 05:19:00 PM,5305 Bolm Rd,Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,Austin,TX
7,7,26,A759224,Lola,09/29/2017 11:31:00 AM,09/29/2017 11:31:00 AM,View Point Drive And Nuckols Crossing,Stray,Normal,Dog,Intact Female,9 months,Dachshund Mix,Blue/White,Austin,TX
8,8,30,A754695,*Hilary,07/23/2017 11:17:00 AM,07/23/2017 11:17:00 AM,124 W Anderso,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,Austin,TX
9,9,31,A761131,*Mary,10/29/2017 05:48:00 PM,10/29/2017 05:48:00 PM,6506 Decker Lane,Stray,Normal,Dog,Intact Female,3 weeks,Pit Bull Mix,Black/White,Austin,TX
10,10,32,A755135,*Minnie,07/29/2017 02:28:00 PM,07/29/2017 02:28:00 PM,Highway 183,Stray,Normal,Dog,Intact Female,9 months,Catahoula Mix,Chocolate/White,Austin,TX
11,11,33,A742653,Lilly,01/25/2017 03:22:00 PM,01/25/2017 03:22:00 PM,Bratton L,Stray,Normal,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Brown/Black,Austin,TX
12,12,34,A559625,Rico,07/13/2017 03:18:00 PM,07/13/2017 03:18:00 PM,Old Manchaca Rd & Drew L,Stray,Normal,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White,Austin,TX
13,13,40,A751501,,06/09/2017 08:06:00 AM,06/09/2017 08:06:00 AM,Us 290 & Blue Goose,Stray,Injured,Dog,Intact Male,1 year,Pit Bull Mix,Fawn/White,Austin,TX
14,14,41,A752501,,06/23/2017 11:00:00 AM,06/23/2017 11:00:00 AM,1735 Rutland Dr,Stray,Normal,Cat,Intact Female,1 week,Domestic Shorthair Mix,Brown Tabby,Austin,TX
15,15,43,A751399,,06/07/2017 04:30:00 PM,06/07/2017 04:30:00 PM,802 Lawmont Dr,Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Blue Tabby,Austin,TX
16,16,44,A743830,Tank,02/17/2017 06:49:00 PM,02/17/2017 06:49:00 PM,4502 Hudson Bend Rd in Trav,Stray,Normal,Dog,Intact Male,9 years,Queensland Heeler Mix,Blue Tick,Austin,TX
17,17,54,A754906,,07/26/2017 01:50:00 PM,07/26/2017 01:50:00 PM,1400 East 51S,Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue Tabby,Austin,TX
18,18,57,A745938,*Sully,03/26/2017 04:17:00 PM,03/26/2017 04:17:00 PM,Newcastle Dr And Susses Dr,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown,Austin,TX
19,19,58,A741209,*Girly,05/17/2017 11:26:00 AM,05/17/2017 11:26:00 AM,21034 Cameron in Manor,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White,Austin,TX
20,20,63,A450274,Tess,07/07/2017 01:15:00 PM,07/07/2017 01:15:00 PM,11724 Dubfries Lane,Stray,Normal,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Brown,Austin,TX
21,21,66,A763750,*Louie,12/15/2017 01:35:00 PM,12/15/2017 01:35:00 PM,8610 Ranch Road 620,Stray,Normal,Other,Intact Male,1 year,Lionhead,Gray/Gray,Austin,TX
22,22,77,A750683,Lily,05/30/2017 01:17:00 PM,05/30/2017 01:17:00 PM,1815 Trinity S,Stray,Normal,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan,Austin,TX
23,23,85,A650838,Clifford,06/05/2017 05:21:00 PM,06/05/2017 05:21:00 PM,S Pleasant Valley Rd & Teri Rd,Stray,Normal,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan,Austin,TX
24,24,100,A748617,*Gullah,05/04/2017 03:41:00 PM,05/04/2017 03:41:00 PM,1701 Oak Hill L,Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Cream/White,Austin,TX
25,25,109,A763815,,12/16/2017 12:27:00 PM,12/16/2017 12:27:00 PM,9505 Bear Paw Trl,Stray,Normal,Dog,Intact Male,4 years,Miniature Poodle Mix,White,Austin,TX
26,26,110,A746448,*Scuttle,04/03/2017 11:32:00 AM,04/03/2017 11:32:00 AM,1156 W Cesar Chavez,Stray,Normal,Dog,Intact Male,1 year,Soft Coated Wheaten Terrier Mix,Blue Cream/White,Austin,TX
27,27,111,A749169,Banana Joe,05/11/2017 06:21:00 PM,05/11/2017 06:21:00 PM,S Lexington St & E Parsons St in Manor,Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan/White,Austin,TX
28,28,132,A756000,*Mason,08/21/2017 01:04:00 PM,08/21/2017 01:04:00 PM,Outside Jurisdictio,Owner Surrender,Normal,Dog,Neutered Male,1 year,Pointer Mix,Brown/White,Austin,TX
29,29,134,A745901,,03/26/2017 10:25:00 AM,03/26/2017 10:25:00 AM,2800 Crownover S,Wildlife,Sick,Other,Unknown,5 months,Bat,Brown,Austin,TX
30,30,137,A757402,*Archie,09/02/2017 11:05:00 AM,09/02/2017 11:05:00 AM,1800 East Stassney,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,White/Brown,Austin,TX
31,31,139,A758912,Moxy,09/23/2017 04:55:00 PM,09/23/2017 04:55:00 PM,2101 Speedway,Stray,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black,Austin,TX
32,32,140,A755438,,08/03/2017 01:42:00 PM,08/03/2017 01:42:00 PM,11305 Brenham Street in Manor,Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,Austin,TX
